site,location,ab,elevation,year,age,ageclassn,ageclass,ACENEG,ARTLUD,BACSALF,BACSALN,BERFRE,BRANIG,BRILON,BRORUB,BROTEC,CLELIG,ECHCRU,ELYELY,EQULAE,ERINAU,EUPACE,EUTOCC,JUNBAL,JUNLON,JUNTOR,OENPAL,PARINS,PHRAUS,POLMON,POLVIR,POPFRE,QUEGAM,SACRAV,SALEXI,SALGOO,SALTRA,SOLCAN,STETEN,TAMRAM,TYPDOM,VERAME,VULOCT
MCAL1,MC,above,3790,2022,50,50,> 50,0.000,0.000,1.501,0.000,0.000,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.601,5.631,0.000,0.000,0.000,24.917,0.000,0.000,0.000
MCAL2,MC,above,3750,2022,50,50,> 50,0.000,0.203,2.608,1.316,0.000,1.316,0.231,0.203,0.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.846,0.000,4.274,0.000,0.000,10.070,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.412
MCBL1,MC,below,3640,2022,11,12,11 to 12,0.000,0.000,2.087,0.000,0.000,0.000,0.000,0.160,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.490,0.998,0.000,0.000,0.000,12.880,0.000,0.000,0.149
MCBL2,MC,below,3600,2022,2,2,2,0.000,0.000,5.961,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.000,11.023,2.747,0.000,0.000,0.000,7.666,1.426,0.179,1.399
MCBL3,MC,below,3540,2022,1,1,1,0.000,0.000,1.979,0.152,0.000,13.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.513,0.000,0.000,0.000,0.000,0.000,2.523,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.962,0.000,3.043,0.152
RBL2,R,below,3640,2022,11,12,11 to 12,0.000,0.000,7.726,7.500,0.000,0.000,0.000,0.000,0.183,0.000,0.000,0.000,0.000,5.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.436,0.000,0.000,0.771
RBL3,R,below,3605,2022,2,2,2,0.000,0.000,8.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.168,0.000,0.000,0.000,1.026,0.000,0.000,0.000,0.000,0.000,11.934,0.000,0.000,0.000,0.000,2.168,0.000,0.000,0.000,0.000,0.175,0.000,0.000,0.000
RFCAL1,RFC,above,3715,2022,50,50,> 50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.935,0.000,0.000,0.000,0.000,2.500,0.000,23.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.333,14.605,0.000,0.000,0.000,0.000,13.290,0.000,0.000,0.000,0.000,0.000
RFCAL2,RFC,above,3710,2022,50,50,> 50,0.000,6.297,0.000,0.000,0.000,0.000,0.000,0.000,12.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.027,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,16.705,0.000,1.786,0.000,0.000,0.000
RFCBL1,RFC,below,3655,2022,11,12,11 to 12,0.000,2.392,18.344,0.000,0.000,0.000,0.000,0.152,5.302,0.000,0.000,0.987,3.940,0.000,0.000,1.419,3.305,0.000,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.915,3.139,0.000,0.000,0.000,0.915,11.816,0.000,0.000,0.000
RFCBL2,RFC,below,3615,2022,3,4,3 to 4,0.000,0.000,0.156,0.156,0.000,0.000,14.821,0.000,0.164,0.000,0.000,0.000,1.254,0.000,0.000,2.478,0.305,0.000,5.209,8.769,0.000,0.000,2.344,0.000,0.000,0.000,0.000,0.000,2.266,0.000,0.000,5.183,0.000,0.000,0.000,0.000
RFCBL3,RFC,below,3565,2022,1,1,1,0.000,0.000,0.174,1.014,0.000,0.000,0.000,0.000,0.000,0.000,31.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.566,0.000,0.000,0.000,0.000,10.970,12.841,6.137,0.181,0.000,5.003,1.054,1.205,0.000
